pump_age,water_tech,water_source,management,district,target,risk_score,risk_pct,#lat_deg,#lon_deg,#water_point_name,#adm2
8.0,#indicator+water_tech,#indicator+water_source,#indicator+management,#adm2+name,0,0.6942713453257372,69.4,#geo+lat,#geo+lon,#country+name,#adm2+name
8.0,Public Tapstand,unknown,unknown,Kicukiro,1,0.7232419717831573,72.3,-1.981402606,30.08347677,Rwanda,Kicukiro
8.0,Public Tapstand,unknown,unknown,Kicukiro,1,0.7232419717831573,72.3,-2.04139572,30.11337565,Rwanda,Kicukiro
8.0,Public Tapstand,unknown,unknown,Rulindo,1,0.6088340195620978,60.9,-1.75814324,29.93417419,Rwanda,Rulindo
8.0,Public Tapstand,unknown,unknown,Rulindo,1,0.6088340195620978,60.9,-1.7008794,29.94423625,Rwanda,Rulindo
8.0,Public Tapstand,unknown,unknown,Rulindo,1,0.6088340195620978,60.9,-1.66621084,29.88553958,Rwanda,Rulindo
8.0,Public Tapstand,unknown,unknown,Rulindo,1,0.6088340195620978,60.9,-1.6819505,29.94578863,Rwanda,Rulindo
8.0,Public Tapstand,unknown,unknown,Rulindo,1,0.6088340195620978,60.9,-1.646282147,29.95204755,Rwanda,Rulindo
8.0,Public Tapstand,unknown,unknown,Kicukiro,1,0.7232419717831573,72.3,-1.973193903,30.0796905,Rwanda,Kicukiro
8.0,Public Tapstand,unknown,unknown,Kicukiro,1,0.7232419717831573,72.3,-1.969377818,30.09880616,Rwanda,Kicukiro
8.0,Public Tapstand,unknown,unknown,Kicukiro,1,0.7232419717831573,72.3,-1.998114809,30.19468472,Rwanda,Kicukiro
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.8107318,30.00464977,Rwanda,Rulindo
8.0,Public Tapstand,unknown,unknown,Rulindo,1,0.6088340195620978,60.9,-1.81100252,30.07369083,Rwanda,Rulindo
8.0,Public Tapstand,unknown,unknown,Rulindo,1,0.6088340195620978,60.9,-1.800440164,30.12356696,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.8245826400000063,30.260968269999996,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.7859776999999966,30.1594329,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.7760586999999994,30.18025320000001,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.715072300000006,29.930673200000005,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.7348275999999967,30.0339835,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.7021092300000071,30.028820850000013,Rwanda,Rulindo
